Ãå ½ç,ÏÈ ÈÖ,ÇÏ ÈÖ,ÇÏÌ¾,À­Îð,¶ÔÎÌ,µ³¼ê,¥¿¥¤¥à,Ãåº¹,Ã±¾¡,¿Í µ¤,ÇÏÂÎ½Å,Ä´¶µ»Õ
4,3,3,¥Ú¥¤¥·¥ã¥Ç¥£¥¢,ÌÆ4,55.0,²£»³ÏÂÀ¸,0:58.9,1/2,20.6,6.0,440(-2),[Åì] ÅÚÅÄÌ­
5,8,10,¥¿¥¤¥­¥é¥á¡¼¥ë,²´6,57.0,²®ÌîÂö¿¿,0:58.9,¥¢¥¿¥Þ,8.4,3.0,478(+2),[À¾] Âçµ×ÊÝÎ¶
6,1,1,¥¯¥ê¥Î¥«¥µ¥Ã¥È,ÌÆ4,55.0,²ÃÆ£¾ÍÂÀ,0:59.1,1.1/4,34.8,10.0,436(-4),[À¾] Æ£ÂôÂ§Íº
7,5,5,¥é¥¬¡¼¥æ¥ß¥ê¥ó,ÌÆ5,55.0,ÃÓÅº¸¬°ì,0:59.3,1.1/4,12.4,5.0,458(-2),[À¾] ÃÓÅº·óÍº
8,2,2,¥Ï¡¼¥Ó¡¼¥Ü¥ó¥º,¥»4,57.0,µÈÅÄÈ»¿Í,0:59.5,1,25.6,8.0,430(+2),[Åì] ÃæÀî¸øÀ®
9,6,6,¥í¥·¥¢¥ó¥Ö¥ë¡¼,ÌÆ3,49.0,¿û¸¶ÌÀÎÉ,0:59.9,2.1/2,10.5,4.0,414(-14),[Åì] Éð»Ô¹¯ÃË
10,8,11,¥Ò¥í¥Î¥ª¥ê¥ª¥ó,ÌÆ4,55.0,´äÅÄ¹¯À¿,0:59.9,¥¯¥Ó,5.1,2.0,486(-2),[À¾] ¹â¶¶¹¯Ç·
11,7,9,¥Ø¡¼¥¶,ÌÆ4,55.0,¾ë¸ÍµÁÀ¯,1:00.5,3.1/2,25.1,7.0,430(-4),[À¾] ¹âÌøÂçÊå
1,2,2,¥Þ¡¼¥Þ¥ì¡¼¥É¥¬¡¼¥ë,ÌÆ3,52.0,Ã°ÆâÍ´¼¡,1:08.5,,4.3,3.0,456(-4),[Åì] ÃæÌî±É¼£
2,5,6,¥ô¥£¡¼¥Ê¥¹¥Õ¥í¡¼¥é,ÌÆ5,55.0,Æ£²¬¹¯ÂÀ,1:08.6,3/4,6.1,4.0,490(-6),[À¾] ¿Ü³­¾°²ð
3,5,5,¥Õ¥¡¥ó¥·¥ã¥ó,ÌÆ3,49.0,ÃÄÌîÂçÀ®,1:08.6,¥¯¥Ó,21.6,8.0,414(-6),[Åì] È«»³µÈ¹¨
4,1,1,¥Ö¥é¥¦¥ó¥í¡¼¥º,ÌÆ5,55.0,¾¡±ºÀµ¼ù,1:08.6,¥Ï¥Ê,21.3,7.0,480(-2),[Åì] ¹â¶¶Íµ
5,6,8,¥³¥ë¥Ç¥È¥¥¥ê¡¼¥Ë,ÌÆ3,52.0,É©ÅÄÍµÆó,1:08.7,1/2,3.3,1.0,438(+2),[À¾] ²¬ÅÄ°ðÃË
6,7,10,¥¹¥º¥«¥æ¡¼¥¹,ÌÆ3,49.0,¿û¸¶ÌÀÎÉ,1:08.8,¥¯¥Ó,13.3,6.0,446(-4),[Åì] °ËÆ£·½»°
7,7,9,¥Ñ¥ì¥Ë¥¢,ÌÆ3,52.0,¹ñÊ¬¶³²ð,1:08.8,¥¯¥Ó,9.1,5.0,490(-2),[À¾] ¹â¶¶Î¼
8,8,12,¥á¥¤¥·¥ç¥¦¥³¥ß¥Á,ÌÆ3,52.0,¸ÅÀîµÈÍÎ,1:08.9,1/2,106.3,10.0,440(-12),[À¾] ËÜÅÄÍ¥
9,8,11,¥É¥¥¥â¥ï¥¼¥ë,ÌÆ5,54.0,²£»³Éð»Ë,1:09.0,¥¯¥Ó,69.8,9.0,458(-6),[Åì] ÇôÃ«¾»±û
10,4,4,¥°¥Ã¥É¥ï¡¼¥É,ÌÆ4,55.0,´äÅÄ¹¯À¿,1:09.2,1.1/2,3.9,2.0,478(-10),[À¾] ¹â¶¶µÁÃé
11,6,7,¥Ç¥£¥¢¥Ð¥Ó¥¢¥Ê,ÌÆ4,55.0,Åª¾ìÍ¦¿Í,1:09.6,2.1/2,148.0,11.0,476(0),[Åì] ¹â¶¶Íµ
½ü,3,3,¥·¥ç¥¦¥Ê¥ó¥Ð¥Ë¥é,ÌÆ3,52.0,ÃÓÅº¸¬°ì,,,---,,414(-12),[Åì] Éð»Ô¹¯ÃË
1,3,3,¥è¥Ï¥ó,²´3,54.0,¸ÅÀîµÈÍÎ,1:45.1,,1.7,1.0,432(+2),[À¾] ¹â¶¶¹¯Ç·
2,6,6,¥ª¥á¥¬¥ì¥¤¥ó¥Ü¡¼,²´3,54.0,´äÅÄ¹¯À¿,1:45.3,1.1/4,5.1,2.0,448(+6),[À¾] °ÂÅÄæÆ¸à
3,7,8,¥·¥ó¥¢¥ó¥É¥±¥ó,²´4,57.0,²£»³Åµ¹°,1:45.4,3/4,6.3,3.0,484(-4),[À¾] ËÜÅÄÍ¥
4,5,5,¥¬¥È¡¼¥Ö¥ê¥é¥ó¥Æ,ÌÆ4,54.0,²£»³Éð»Ë,1:45.6,1.1/4,11.0,5.0,474(+12),[Åì] Ãæ´Ü±ÑÆó
5,4,4,¥³¥¹¥â¥Ï¥ä¥Æ,²´3,54.0,Ã°ÆâÍ´¼¡,1:45.9,2,58.9,8.0,454(+2),[Åì] ¾®Ìî¼¡Ïº
6,2,2,¥Ë¥·¥Î¥¢¥á¥¤¥º,ÌÆ3,49.0,¿û¸¶ÌÀÎÉ,1:46.1,1,36.7,6.0,498(+4),[Åì] ¾¾»³¾­¼ù
7,1,1,¥ê¥­¥µ¥ó¥´¥ë¥È,²´4,57.0,¼Æ»³Íº°ì,1:46.2,1/2,107.4,9.0,492(-4),[Åì] ±üÊ¿²í»Î
8,8,9,¥í¡¼¥É¥é¥Ê¥­¥é,²´4,57.0,Æ£²¬Í¤²ð,1:46.5,2,6.7,4.0,446(-8),[À¾] ¹âÌîÍ§ÏÂ
9,8,10,¥¹¡¼¥Ú¥ë¥´¥é¥Ã¥½,²´3,51.0,ÃÄÌîÂçÀ®,1:47.1,3.1/2,53.2,7.0,504(+2),[À¾] ²ÃÍÑÀµ
10,7,7,¥Ñ¡¼¥¯¥¹,ÌÆ3,52.0,¸¶ÅÄÏÂ¿¿,1:47.3,1.1/2,215.0,10.0,526(+2),[Åì] ¸Å²ì»ËÀ¸
1,5,5,¥«¥ë¥ê¡¼¥Î,²´3,54.0,´äÅÄ¹¯À¿,1:28.3,,2.1,1.0,492(-6),[Åì] ¹â¶¶Íµ
2,8,9,¥é¥Õ¥§¥ê¥·¥Æ,ÌÆ3,52.0,Æ£²¬¹¯ÂÀ,1:28.6,1.3/4,4.5,3.0,426(+14),[À¾] ¿Ü³­¾°²ð
3,1,1,¥»¥ó¥È¥»¥·¥ê¥¢,ÌÆ3,52.0,µÈÅÄÈ»¿Í,1:28.7,1/2,22.6,7.0,390(+4),[À¾] ÌðºîË§¿Í
4,7,7,¥Õ¥¡¥¹¥È¥é¥¤¥Õ,ÌÆ4,55.0,²£»³Éð»Ë,1:28.9,1.1/2,6.9,4.0,450(-6),[Åì] ÀÄÌÚ¹§Ê¸
5,4,4,¥Ò¥í¥Î¥ª¥¦¥«¥ó,²´4,57.0,ÀîÅç¿®Æó,1:29.1,1.1/2,184.7,10.0,430(-14),[Åì] éâÌ¾Íø¹°
6,8,10,¥°¥ì¥¤¥¹¥¢¥ó,ÌÆ3,52.0,ÃÓÅº¸¬°ì,1:29.2,¥¯¥Ó,4.0,2.0,484(-14),[Åì] ºØÆ£À¿
7,6,6,¥»¥ó¥Æ¥£¥Õ¥©¥ê¥¢,ÌÆ4,55.0,¹ñÊ¬¶³²ð,1:29.4,1.1/4,22.3,6.0,432(+8),[À¾] ÅÄ½ê½¨¹§
8,3,3,¥Ñ¥Ö¥í¥Õ¥Æ¥½¡¼¥í,²´3,54.0,Âã¹°¿Í,1:30.3,5,31.3,8.0,532(+14),[Åì] Éð°æÎ¼
9,2,2,¥¤¥Ã¥Ä¥Þ¥¤¥¿¡¼¥ó,²´4,57.0,¼Æ»³Íº°ì,1:31.6,8,18.7,5.0,502(-6),[Åì] Å·´Ö¾¼°ì
10,7,8,¥Þ¥Ã¥Á¥ç¥Ù¥ê¡¼,ÌÆ4,55.0,¾¡±ºÀµ¼ù,1:33.1,9,146.1,9.0,474(-6),[Åì] ÃæÌî±É¼£
1,6,9,¥¦¥¤¥ó¥·¥ã¥È¥ì¡¼¥Ì,ÌÆ5,52.0,²£»³Éð»Ë,1:46.4,,10.2,4.0,506(+8),[À¾] Âçµ×ÊÝÎ¶
2,3,3,¥Ï¥Ê¥º¥ì¥¸¥§¥ó¥É,²´6,55.0,ÀîÅç¿®Æó,1:46.4,¥¯¥Ó,40.6,11.0,454(-4),[À¾] ÌðºîË§¿Í
3,4,5,¥¦¥¤¥ó¥¤¥¯¥·¡¼¥É,²´5,54.0,¾¾²¬Àµ³¤,1:46.4,¥Ï¥Ê,5.6,2.0,490(0),[Åì] ÎëÌÚ¿­¿Ò
4,5,8,¥Ö¥ì¥¹¥Æ¥¤¥­¥ó¥°,²´4,57.0,¥ë¥á¡¼¥ë,1:46.4,¥Ï¥Ê,1.8,1.0,490(+6),[Åì] ËÙÀë¹Ô
5,6,10,¥µ¥ó¥Æ¥£¡¼¥ë,ÌÆ5,54.0,ÃÓÅº¸¬°ì,1:46.5,1/2,9.2,3.0,480(-6),[Åì] ¼¯¸ÍÍº°ì
6,1,1,¥¹¥ê¡¼¥Þ¥­¥·¥Þ¥à,²´8,54.0,¾¾ÅÄÂçºî,1:46.7,1.1/2,29.5,8.0,508(-10),[À¾] ¹â¶¶¹¯Ç·
7,3,4,¥´¡¼¥ë¥É¥®¥¢,²´4,55.0,¸ÅÀîµÈÍÎ,1:46.8,¥¯¥Ó,16.0,6.0,464(-14),[Åì] °ËÆ£·½»°
8,5,7,¥í¥é¥¤¥Þ,¥»6,56.0,Æ£²¬¹¯ÂÀ,1:46.9,3/4,37.0,9.0,446(-14),[À¾] ¾¾ÅÄ¹ñ±Ñ
9,2,2,¥Ú¥¤¥É¥á¥ë¥ô¥§¥¤¥æ,ÌÆ5,52.0,ÃÄÌîÂçÀ®,1:47.0,1/2,27.0,7.0,468(-8),[Åì] Æ£ÂôÏÂÍº
10,4,6,¥×¥í¥Õ¥§¥Ã¥È,¥»6,56.0,Æ£²¬Í¤²ð,1:47.2,1.1/4,45.7,13.0,468(-10),[À¾] ÃÓ¹¾ÂÙ¼÷
11,8,13,¥É¥¥¡¼¥«,²´6,54.0,¾¡±ºÀµ¼ù,1:47.2,¥¯¥Ó,15.6,5.0,494(-4),[À¾] ÌîÃæ¸­Æó
12,8,14,¥®¥Ö¥¢¥ó¥É¥Æ¥¤¥¯,¥»8,54.0,´äÅÄ¹¯À¿,1:47.4,1,56.3,14.0,474(-8),[Åì] ¼¯¸ÍÍº°ì
13,7,11,¥«¥ì¥ó¥·¥ê¥¨¡¼¥¸¥ç,ÌÆ4,52.0,ÀÐÀîÍµµª,1:47.8,2.1/2,37.3,10.0,484(0),[À¾] ÎëÌÚ¹§»Ö
14,7,12,¥µ¥¦¥ó¥É¥Ð¡¼¥Ë¥ó¥°,²´7,54.0,¹ñÊ¬¶³²ð,1:48.7,5,45.2,12.0,420(0),[À¾] °ÂÃ£¾¼É×
1,1,1,¥Ò¥·¥²¥Ã¥³¥¦,²´3,54.0,¥ë¥á¡¼¥ë,2:39.4,,1.6,1.0,486(+6),[Åì] ËÙÀë¹Ô
2,2,2,¥µ¥ó¥·¥í¥¦,²´5,57.0,¾¡±ºÀµ¼ù,2:39.7,2,18.0,5.0,496(+6),[Åì] ÊÁºê¹§
3,5,5,¥È¥í¥Ô¥«¥ë¥¹¥È¡¼¥à,¥»6,57.0,Æ£²¬¹¯ÂÀ,2:39.7,¥¯¥Ó,21.4,6.0,444(-4),[À¾] À¾Â¼¿¿¹¬
4,8,8,¥é¥¯¥í¡¼¥Á¥§,²´3,54.0,Æ£²¬Í¤²ð,2:39.9,1,4.4,2.0,454(-4),[À¾] ³ÑÅÄ¹¸°ì
5,7,7,¥ê¥ó¥Ç¥£¥¹¥Õ¥¡¡¼¥ó,²´4,57.0,¾¾ÅÄÂçºî,2:40.0,3/4,9.8,4.0,492(+4),[À¾] ¹â¶¶¹¯Ç·
6,4,4,¥¸¥ã¥Ç¥£¡¼¥É,²´4,57.0,¸ÅÀîµÈÍÎ,2:40.2,1.1/4,46.8,7.0,436(-20),[Åì] ¾®ÅçÌÐÇ·
7,8,9,¥Ï¥Ê¥¶¥«¥ê,ÌÆ4,55.0,²£»³Éð»Ë,2:40.5,1.3/4,54.0,8.0,486(-8),[Åì] ÇôÃ«¾»±û
8,6,6,¥é¥Ü¡¼¥Ê,¥»5,57.0,ÃÓÅº¸¬°ì,2:40.5,¥¯¥Ó,6.6,3.0,536(-8),[Åì] Æ£ÂôÏÂÍº
9,3,3,¥¯¥¢¥È¥ì¥Õ¥©¥¤¥ë,²´4,57.0,´äÅÄ¹¯À¿,2:44.8,Âç,71.4,9.0,492(+2),[Åì] °ð³À¹¬Íº
1,1,1,¥¢¥á¡¼¥¸¥ó¥°¥µ¥ó,²´2,54.0,¥ë¥á¡¼¥ë,1:09.1,,1.3,1.0,456(-2),[Åì] ±üÂ¼Éð
2,3,3,¥»¥¤¥é¥Ö¥ß¡¼,ÌÆ2,54.0,»°±º¹ÄÀ®,1:09.9,5,12.6,4.0,458(-4),[Åì] °ËÆ£Âç»Î
3,5,5,¥×¥í¥ô¥£¥Ç¥ó¥¹,²´2,53.0,²£»³Éð»Ë,1:10.1,3/4,51.7,7.0,468(-8),[Åì] ²ÃÆ£»ÎÄÅ
4,6,6,¥«¥ß¡¼¥Î,²´2,54.0,´äÅÄ¹¯À¿,1:10.2,3/4,7.5,3.0,478(+4),[À¾] À¶¿åµ×»ì
5,7,7,¥¢¡¼¥Þ¡¼¥Ð¥í¡¼¥º,²´2,54.0,ÉðË­,1:10.4,1.1/4,5.7,2.0,456(+2),[À¾] ¾åÂ¼ÍÎ¹Ô
6,2,2,¥Ë¥¸¥å¥Ã¥±¥ó¥É¡¼¥í,²´2,54.0,ÃÓÅº¸¬°ì,1:10.4,¥¢¥¿¥Þ,17.7,5.0,414(-8),[Åì] ÌÚÂ¼Å¯Ìé
7,4,4,¥ª¡¼¥ô¥¡¥ë,²´2,54.0,¾¾²¬Àµ³¤,1:11.8,9,46.7,6.0,488(-8),[Åì] ¸Å²ì»ËÀ¸
